"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 23 02:23:39 UTC 2023","Sat Dec 23 02:23:49 UTC 2023","9880","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Sat Dec 23 02:35:37 UTC 2023","Sat Dec 23 02:35:39 UTC 2023","1890","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Dec 23 02:47:20 UTC 2023","Sat Dec 23 02:47:22 UTC 2023","2399","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Dec 23 02:44:33 UTC 2023","Sat Dec 23 02:44:33 UTC 2023","378","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sat Dec 23 03:09:23 UTC 2023","Sat Dec 23 03:09:25 UTC 2023","1416","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sat Dec 23 02:46:45 UTC 2023","Sat Dec 23 02:46:56 UTC 2023","11288","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Sat Dec 23 02:47:09 UTC 2023","Sat Dec 23 02:47:11 UTC 2023","1384","","6. Company Account","","","","6. Review Review Page",""
"passed","Sat Dec 23 02:24:39 UTC 2023","Sat Dec 23 02:24:44 UTC 2023","5247","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Sat Dec 23 03:43:54 UTC 2023","Sat Dec 23 03:43:55 UTC 2023","974","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Sat Dec 23 02:25:52 UTC 2023","Sat Dec 23 02:26:49 UTC 2023","57287","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Sat Dec 23 02:38:06 UTC 2023","Sat Dec 23 02:38:12 UTC 2023","6887","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sat Dec 23 02:29:11 UTC 2023","Sat Dec 23 02:29:19 UTC 2023","8814","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Sat Dec 23 03:09:18 UTC 2023","Sat Dec 23 03:09:23 UTC 2023","4960","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Sat Dec 23 03:43:55 UTC 2023","Sat Dec 23 03:43:56 UTC 2023","917","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Sat Dec 23 04:38:30 UTC 2023","Sat Dec 23 04:38:32 UTC 2023","1393","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Sat Dec 23 02:31:24 UTC 2023","Sat Dec 23 02:31:25 UTC 2023","574","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
